GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_skew,GyroX_kurtosis,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_skew,GyroY_kurtosis,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_skew,GyroZ_kurtosis,AccX_mean,AccX_std,AccX_max,AccX_min,AccX_skew,AccX_kurtosis,AccY_mean,AccY_std,AccY_max,AccY_min,AccY_skew,AccY_kurtosis,AccZ_mean,AccZ_std,AccZ_max,AccZ_min,AccZ_skew,AccZ_kurtosis,Target
-0.2669029443571429,1.8003217149527928,3.351145038,-5.694656489,-0.6651342612559762,1.808547844524405,4.499182115678571,2.144778406298866,9.213740458,0.404580153,0.5551064537418984,0.31451953859132464,0.2971646673571429,1.0828079337664145,1.946564885,-2.221374046,-0.611456815496578,-0.31188119218654187,0.3323189872142857,0.1502370788072923,0.643554688,0.079101563,0.19516612914522558,-0.9685315572576956,-0.15351213739285716,0.07219402608345461,-0.005371094,-0.297363281,-0.2034957731076199,-0.753938502662149,-0.9558279855357145,0.06900148889249785,-0.808349609,-1.069580078,0.4443776912375041,-0.6020142808594393,1
-0.5455288986071428,2.115603794294174,2.618320611,-5.694656489,-0.7412302923059122,0.07905568417385922,4.941384951000001,2.5907673825730986,10.65648855,0.404580153,0.26218686827280724,-0.3295654603900018,0.5359869137857144,1.1405611412646237,1.946564885,-2.465648855,-0.9887515539343311,0.19652515917788982,0.3635341099999999,0.15295625363239942,0.643554688,0.079101563,-0.15842618442353407,-1.0750947776389272,-0.15014648449999998,0.09700347871430626,0.080566406,-0.375244141,-0.02610913703258813,0.10474942213896599,-0.9607805525,0.09278764740804839,-0.808349609,-1.126220703,0.18399292843787213,-0.8848455277248801,1
-0.3882224644285714,2.783812477697238,10.15267176,-4.946564885,1.6954476539464824,5.602655399583744,4.953380588928572,2.8481829924213393,10.65648855,-2.801526718,-0.33920246133010873,0.8959257792756539,0.20965103596428564,1.2146878092823057,1.93129771,-2.465648855,-0.8041916158730906,-0.5915471091883622,0.3502197265714285,0.1528761455095354,0.608398438,0.133789063,0.02831080542316931,-1.4297697230510296,-0.14382498617857142,0.09366972366981316,0.080566406,-0.375244141,-0.21206168172664683,0.3272927939609245,-0.9856218610357143,0.10406797484979775,-0.778076172,-1.215820313,0.08330904335491819,-0.2578884433517472,1
-0.46892039253571427,3.0662928532165825,10.15267176,-5.442748092,1.2797176621805215,3.3610851707566063,4.73500545275,3.2043419470734245,11.49618321,-2.801526718,-0.16786214910907732,0.07716019228017723,0.10687022896428575,1.3461145009891065,3.702290076,-2.190839695,0.12773434558725083,0.18486802411182124,0.3534197126785715,0.14738401848779584,0.608398438,0.133789063,0.00823993543702613,-1.3672084634863715,-0.14469691696428572,0.07798732504932339,-0.033203125,-0.325195313,-0.5435441473332013,-0.6153309410825378,-1.0152064732500001,0.12566627067681035,-0.778076172,-1.280517578,-0.34622851408187183,-0.3178121119744741,1
-1.3056161396785715,2.6645320028334725,3.458015267,-7.374045802,-0.32370082118816834,-0.4343933201716559,5.351145038214286,3.0872750223355636,11.57251908,-0.229007634,0.15890760637296997,-0.38973423453322154,1.0253544165714288,1.8763564824233765,5.786259542,-2.190839695,0.8757340999394627,0.738016671677804,0.33795166025,0.15099887499145923,0.555175781,0.103759766,-0.1718554099515746,-1.4442738327863953,-0.14424351292857143,0.07967617142340432,-0.033203125,-0.325195313,-0.471238234414242,-0.7416659862669794,-1.018284389035714,0.11777912765702261,-0.826416016,-1.280517578,-0.5532385673370436,-0.208079296520165,1
-1.431570338107143,2.806065893331062,3.900763359,-8.167938931,-0.4770086566644929,0.2266301829341204,4.894492911535714,2.9792899541015214,11.57251908,-3.549618321,-0.3652065305941718,1.1523009682796852,1.6733914941071426,1.7106244741116101,5.786259542,-0.351145038,1.0834133870265865,0.09680343831856053,0.31256975453571434,0.17371796855764818,0.605712891,0.035644531,0.17070612817929012,-1.3536020437103093,-0.13922119142857142,0.0874242804458043,0.054443359,-0.323486328,0.10829075622321584,-0.3440113010108097,-0.9953700474999999,0.09349157437515808,-0.810302734,-1.184082031,-0.09190994142439937,-0.14211799038998096,1
-0.9332061069642856,3.0613952116426395,4.732824427,-8.167938931,-0.2897610824232754,-0.1078904336889277,4.049618320678572,2.5554409802915363,7.580152672,-3.549618321,-1.224339985958006,1.7873627951694298,1.6210468921071428,1.6484258626671837,7.335877863,-0.282442748,1.814057691413041,3.6092886826761843,0.30351039353571435,0.17347421627570445,0.605712891,0.035644531,0.22213405234417127,-1.2646647201722439,-0.13080705914285715,0.08837074671256924,0.054443359,-0.323486328,0.0931311614576257,-0.4653507611739536,-1.00126429975,0.10207148239941068,-0.810302734,-1.293945313,-0.6285624723201172,0.9926596871145197,1
-0.4844601964999999,4.1076208451805325,7.290076336,-11.66412214,-0.4368456675148488,0.7292213503536922,5.079334787428571,3.483124023605026,13.5648855,-2.061068702,0.5601623292597,0.8285035093503503,1.4959105779642858,1.5879595310939378,7.335877863,-0.595419847,1.9946987715261877,4.921367068885086,0.2860543388928571,0.16657774002203637,0.557128906,-0.017333984,0.14868243037799952,-1.1688336860294628,-0.09879847935714285,0.0945223338844534,0.163574219,-0.262695313,0.688408697704602,0.6898732013665385,-0.9767717634642856,0.1133276155243128,-0.630615234,-1.293945313,0.20007803688921014,3.041939093936933,1
-0.5278080699285713,3.804327231286252,7.290076336,-11.66412214,-0.3033493808743549,1.7450428620518412,5.152944383785716,3.619928020481467,13.5648855,-0.038167939,0.7454637387597993,0.09620171271225253,1.75845147225,1.7706696574042953,7.549618321,-0.595419847,1.454420126015039,2.234357887932248,0.3173043388214286,0.16716313653879364,0.557128906,-0.017333984,-0.20867121839155683,-1.2150585521837487,-0.10185023707142857,0.10374377684056042,0.163574219,-0.262695313,0.7839184124906208,0.15405920406134355,-0.9797886440357143,0.12859949940538612,-0.630615234,-1.359863281,-0.4124399480110212,2.787971064590221,1
-0.9119411122500002,2.278886508110998,5.351145038,-5.557251908,0.4094572427673103,0.7217823401676102,3.982824427357142,2.602111502486853,11.09160305,-1.267175573,0.490825508216695,0.4579080477868027,1.2508178844285713,2.3117901075977816,7.549618321,-6.160305344,-0.337045321304232,3.5670096737421977,0.2848336356785714,0.1675572977294101,0.525390625,0.011474609,0.10509643053002296,-1.5277011952959594,-0.11888776499999999,0.07433708180246715,0.077148438,-0.235595703,0.8101660690597543,0.8701541715803462,-1.0281546457142858,0.12246080219237122,-0.831298828,-1.359863281,-0.7938444285625188,0.8411842378547232,1
